Unnamed: 0,School Name,URL,City,State,svg_file_path
1592,South Dakota State University,http://sdstate.edu,Brookings,SD,logos/South_Dakota_State_University/South_Dakota_State_University.svg
1593,University of South Dakota,http://usd.edu,Vermillion,SD,logos/University_of_South_Dakota/University_of_South_Dakota.svg
1594,University of Sioux Falls,http://usioxfalls.edu,Sioux Falls,SD,logos/University_of_Sioux_Falls/University_of_Sioux_Falls.svg
1595,Western Dakota Technical Institute,http://wdt.edu,Rapid City,SD,Fail
1596,Austin Peay State University,http://apsu.edu,Clarksville,TN,logos/Austin_Peay_State_University/Austin_Peay_State_University.svg
1597,Belmont University,http://belmont.edu,Nashville,TN,logos/Belmont_University/Belmont_University.svg
1598,Bryan College,http://bryan.edu,Dayton,TN,logos/Bryan_College/Bryan_College.svg
1599,Christian Brothers University,http://cbu.edu,Memphis,TN,logos/Christian_Brothers_University/Christian_Brothers_University.svg
1600,Carson-Newman University,http://cn.edu,Jefferson City,TN,logos/Carson_Newman_University/Carson_Newman_University.svg
1601,Columbia State Community College,http://columbiastate.edu,Columbia,TN,logos/Columbia_State_Community_College/Columbia_State_Community_College.svg
1602,Cumberland University,http://cumberland.edu,Lebanon,TN,logos/Cumberland_University/Cumberland_University.svg
1603,DeVry University,http://devry.edu,Nashville,TN,logos/DeVry_University/DeVry_University.svg
1604,East Tennessee State University,http://etsu.edu,Johnson City,TN,logos/East_Tennessee_State_University/East_Tennessee_State_University.svg
1605,Freed-Hardeman University,http://fhu.edu,Henderson,TN,logos/Freed_Hardeman_University/Freed_Hardeman_University.svg
1606,Fisk University,http://fisk.edu,Nashville,TN,logos/Fisk_University/Fisk_University.svg
1607,Huntington College of Health Sciences,http://hchs.edu,Knoxville,TN,logos/Huntington_College_of_Health_Sciences/Huntington_College_of_Health_Sciences.svg
1608,Hiwassee College,http://hiwassee.edu,Madisonville,TN,logos/Hiwassee_College/Hiwassee_College.svg
1609,Johnson University,http://johnsonu.edu,(multiple locations),TN,logos/Johnson_University/Johnson_University.svg
1610,Jackson State Community College,http://jscc.edu,Jackson,TN,logos/Jackson_State_Community_College/Jackson_State_Community_College.svg
1611,Lee University,http://leeuniversity.edu,Cleveland,TN,logos/Lee_University/Lee_University.svg
1612,Lincoln Memorial University,http://lmunet.edu,Harrogate,TN,logos/Lincoln_Memorial_University/Lincoln_Memorial_University.svg
1613,The LeMoyne-Owen College,http://loc.edu,Memphis,TN,logos/The_LeMoyne_Owen_College/The_LeMoyne_Owen_College.svg
1614,The University of Memphis,http://memphis.edu,Memphis,TN,logos/The_University_of_Memphis/The_University_of_Memphis.svg
1615,Milligan College,http://milligan.edu,Milligan College,TN,logos/Milligan_College/Milligan_College.svg
1616,Middle Tennessee State University,http://mtsu.edu,Murfreesboro,TN,logos/Middle_Tennessee_State_University/Middle_Tennessee_State_University.svg
1617,Nashville State Community College,http://nscc.edu,Nashville,TN,logos/Nashville_State_Community_College/Nashville_State_Community_College.svg
1618,Pellissippi State Community College,http://pstcc.edu,Knoxville,TN,logos/Pellissippi_State_Community_College/Pellissippi_State_Community_College.svg
1619,Rhodes College,http://rhodes.edu,Memphis,TN,logos/Rhodes_College/Rhodes_College.svg
1620,Roane State Community College,http://roanestate.edu,Harriman,TN,logos/Roane_State_Community_College/Roane_State_Community_College.svg
1621,Southern College of Optometry,http://sco.edu,Memphis,TN,logos/Southern_College_of_Optometry/Southern_College_of_Optometry.svg
1622,Sewanee The University of the South,http://sewanee.edu,Sewanee,TN,logos/Sewanee_The_University_of_the_South/Sewanee_The_University_of_the_South.svg
1623,Southern Adventist University,http://southern.edu,Collegedale,TN,logos/Southern_Adventist_University/Southern_Adventist_University.svg
1624,The University of Tennessee,http://tennessee.edu,(multiple locations),TN,logos/The_University_of_Tennessee/The_University_of_Tennessee.svg
1625,Southwest Tennessee Community College,http://tn.edu,Memphis,TN,logos/Southwest_Tennessee_Community_College/Southwest_Tennessee_Community_College.svg
1626,Tennessee State University,http://tnstate.edu,Nashville,TN,logos/Tennessee_State_University/Tennessee_State_University.svg
1627,Tennessee Technological University,http://tntech.edu,Cookeville,TN,logos/Tennessee_Technological_University/Tennessee_Technological_University.svg
1628,Tennessee Wesleyan College,http://twcnet.edu,Athens,TN,logos/Tennessee_Wesleyan_College/Tennessee_Wesleyan_College.svg
1629,University of Tennessee Chattanooga,http://utc.edu,Chattanooga,TN,logos/University_of_Tennessee_Chattanooga/University_of_Tennessee_Chattanooga.svg
1630,University of Tennessee Health Science Center,http://uthsc.edu,Memphis,TN,logos/University_of_Tennessee_Health_Science_Center/University_of_Tennessee_Health_Science_Center.svg
1631,University of Tennessee Knoxville,http://utk.edu,Knoxville,TN,logos/University_of_Tennessee_Knoxville/University_of_Tennessee_Knoxville.svg
1632,University of Tennessee Martin,http://utm.edu,Martin,TN,logos/University_of_Tennessee_Martin/University_of_Tennessee_Martin.svg
1633,University of Tennessee Space Institute,http://utsi.edu,Tullahoma,TN,logos/University_of_Tennessee_Space_Institute/University_of_Tennessee_Space_Institute.svg
1634,Union University,http://uu.edu,(multiple locations),TN,logos/Union_University/Union_University.svg
1635,Vanderbilt University,http://vanderbilt.edu,Nashville,TN,logos/Vanderbilt_University/Vanderbilt_University.svg
1636,Volunteer State Community College,http://volstate.edu,Gallatin,TN,logos/Volunteer_State_Community_College/Volunteer_State_Community_College.svg
1637,King University,http://king.edu,Bristol,TN,logos/King_University/King_University.svg
1638,Abilene Christian University,http://acu.edu,Abilene,TX,logos/Abilene_Christian_University/Abilene_Christian_University.svg
1639,Alamo Colleges,http://alamo.edu,San Antonio,TX,logos/Alamo_Colleges/Alamo_Colleges.svg
1640,Alvin Community College,http://alvincollege.edu,Alvin,TX,logos/Alvin_Community_College/Alvin_Community_College.svg
1641,Angelo State University,http://angelo.edu,San Angelo,TX,logos/Angelo_State_University/Angelo_State_University.svg
1642,Austin Community College District,http://austincc.edu,Austin,TX,Fail
1643,Austin College,http://austincollege.edu,Sherman,TX,logos/Austin_College/Austin_College.svg
1644,Austin Graduate School of Theology,http://austingrad.edu,Austin,TX,logos/Austin_Graduate_School_of_Theology/Austin_Graduate_School_of_Theology.svg
1645,Baylor University,http://baylor.edu,Waco,TX,logos/Baylor_University/Baylor_University.svg
1646,Blinn College,http://blinn.edu,Brenham,TX,logos/Blinn_College/Blinn_College.svg
1647,Brazosport College,http://brazosport.edu,Lake Jackson,TX,logos/Brazosport_College/Brazosport_College.svg
1648,Brookhaven College,http://brookhavencollege.edu,Dallas,TX,logos/Brookhaven_College/Brookhaven_College.svg
1649,Baptist Health System School of Health Professions,http://bshp.edu,San Antonio,TX,Fail
1650,Career Point College,http://careerpointcollege.edu,San Antonio,TX,logos/Career_Point_College/Career_Point_College.svg
