,School Name,URL,City,State
1504,Philadelphia College of Osteopathic Medicine,http://pcom.edu,Philadelphia,PA
1505,Pennsylvania College of Technology,http://pct.edu,Williamsport,PA
1506,Philadelphia University,http://philau.edu,Philadelphia,PA
1507,University of Pittsburgh,http://pitt.edu,Pittsburgh,PA
1508,Penn State University,http://psu.edu,University Park,PA
1509,Reading Area Community College,http://racc.edu,Reading,PA
1510,Robert Morris University,http://rmu.edu,Moon Township,PA
1511,Saint Vincent Seminary,http://saintvincentseminary.edu,Latrobe,PA
1512,Salus University,http://salus.edu,Elkins Park,PA
1513,The University of Scranton,http://scranton.edu,Scranton,PA
1514,Shippensburg University,http://ship.edu,Shippensburg,PA
1515,Saint Joseph's University,http://sju.edu,Philadelphia,PA
1516,Slippery Rock University,http://sru.edu,Slippery Rock,PA
1517,Saint Vincent College,http://stvincent.edu,Latrobe,PA
1518,Susquehanna University,http://susqu.edu,Selinsgrove,PA
1519,Swarthmore College,http://swarthmor.edu,Swarthmore,PA
1520,Temple University,http://temple.edu,Philadelphia,PA
1521,The American College of Financial Services,http://theamericancollege.edu,Bryn Mawr,PA
1522,Thiel College,http://thiel.edu,Greenville,PA
1523,University of the Arts,http://uarts.edu,Philadelphia,PA
1524,University of Pennsylvania,http://upenn.edu,Philadelphia,PA
1525,University of the Sciences in Philadelphia,http://usciences.edu,Philadelphia,PA
1526,Valley Forge Christian College,http://vfcc.edu,Phoenixville,PA
1527,Villanova University,http://villanova.edu,Villanova,PA
1528,Washington and Jefferson College,http://washjeff.edu,Washington,PA
1529,Westmoreland County Community College,http://wccc.edu,Youngwood,PA
1530,West Chester University,http://wcupa.edu,West Chester,PA
1531,Westminster College,http://westminster.edu,New Wilmington,PA
1532,Widener University,http://widener.edu,Chester,PA
